opportunity_id,account_id,pipeline_amount,Opportunity_Created_Date,sales_segment
DE64p00000VvWsVAAVHW,AC11P0000144YpIQAUID,15764.33121,2021-05-10T22:25:39Z,Commercial
DE64p00000VvczWAARHW,AC11P00000yDCChQAOID,558.9171975,2021-05-12T14:49:33Z,Commercial
DE64p00000VvdhcAABHW,AC14p00001kcTp9AAEID,5623.566879,2021-05-12T18:04:37Z,Commercial
DE64p00000VvxENAAZHW,AC11P00000xM5rGQASID,2388.535032,2021-05-19T17:07:21Z,Mid Market
DE64p00000VvyPgAAJHW,AC11a00000cJUCNAA4ID,54011.46497,2021-05-19T22:55:34Z,Enterprise
DE64p00000VwCMbAANHW,AC11a00000q6m8rAAAID,35346.68153,2021-05-24T13:27:43Z,Commercial
DE64p00000VwLtQAAVHW,AC14p00001ljeM5AAIID,12489.11783,2021-05-26T21:14:15Z,Commercial
DE64p00000VwMDQAA3HW,AC14p00001kcSuiAAEID,4067.025478,2021-05-26T23:34:41Z,Commercial
DE64p00000VwSOkAANHW,AC11a00000pAOQVAA4ID,1143.312102,2021-05-28T18:43:28Z,Commercial
DE64p00000VwXimAAFHW,AC11a00000uVS3mAAGID,9642.961783,2021-06-01T17:21:30Z,Commercial
DE64p00000VwaNjAAJHW,AC11a00000lnSQ9AAMID,1242038.217,2021-06-02T18:36:30Z,Enterprise
DE64p00000VwaZaAAJHW,AC11a00000tZqBJAA0ID,1341.401274,2021-06-02T19:39:19Z,Commercial
DE64p00000Vww67AABHW,AC11a00000ggRUHAA2ID,15277.07006,2021-06-09T14:41:32Z,Commercial
DE64p00000Vx0hJAARHW,AC11P00000z8CAmQAMID,2101.910828,2021-06-10T19:35:53Z,Commercial
DE64p00000Vx4HLAAZHW,AC11a00000cJJCoAAOID,7119.745223,2021-06-11T19:43:20Z,Enterprise
DE64p00000Vx9gvAABHW,AC11a00000geQfsAAEID,14766.87898,2021-06-15T16:24:11Z,Commercial
DE64p00000VxA9YAAVHW,AC11a00000cJJn1AAGID,11178.34395,2021-06-15T18:24:08Z,Commercial
DE64p00000VxAUHAA3HW,AC11a00000brBmBAAUID,19005.09554,2021-06-15T19:51:46Z,Commercial
